X,Y
1,57
2,197
3,637
4,1737
5,4001
6,8077
7,14757
8,24977
9,39817
10,60501
11,88397
12,125017
13,172017
14,231197
15,304501
16,394017
17,501977
18,630757
19,782877
20,961001
21,1167937
22,1406637
23,1680197
24,1991857
25,2345001
26,2743157
27,3189997
28,3689337
29,4245137
30,4861501
31,5542677
32,6293057
33,7117177
34,8019717
35,9005501
36,10079497
37,11246817
38,12512717
39,13882597
40,15362001
41,16956617
42,18672277
43,20514957
44,22490777
45,24606001
46,26867037
47,29280437
48,31852897
49,34591257
50,37502501
51,40593757
52,43872297
53,47345537
54,51021037
55,54906501
56,59009777
57,63338857
58,67901877
59,72707117
60,77763001
61,83078097
62,88661117
63,94520917
64,100666497
65,107107001
66,113851717
67,120910077
68,128291657
69,136006177
70,144063501
71,152473637
72,161246737
73,170393097
74,179923157
75,189847501
76,200176857
77,210922097
78,222094237
79,233704437
80,245764001
81,258284377
82,271277157
83,284754077
84,298727017
85,313208001
86,328209197
87,343742917
88,359821617
89,376457897
90,393664501
91,411454317
92,429840377
93,448835857
94,468454077
95,488708501
96,509612737
97,531180537
98,553425797
99,576362557
100,600005001
